sf6,o2,chf3,pressure,rf_power,predicted_etch_rate_um_min,predicted_selectivity,predicted_nonuniformity_pct,predicted_anisotropy_auxiliary,nominally_meets_primary_specs,prediction_confidence_state,supported_prediction_confidence_state,inside_design_hull,inside_leverage_envelope,inside_design_region,prediction_leverage,meets_all_primary_specs,grid_row,grid_column
10.0,2.0,12.0,100.0,100.0,0.1945053030303032,1.512878787878778,4.202651515151515,0.7843409090909087,False,rejected,unsupported,False,False,False,2.128787878787879,False,0,0
10.5,2.0,12.0,100.0,100.0,0.1997066117424244,1.7300615530302927,4.267451704545454,0.7890492518939392,False,rejected,unsupported,False,False,False,2.0276271070075755,False,0,1
11.0,2.0,12.0,100.0,100.0,0.20483584090909107,1.9469886363636277,4.33033712121212,0.7935068560606058,False,rejected,unsupported,False,False,False,1.9315867424242423,False,0,2
11.5,2.0,12.0,100.0,100.0,0.20989299053030314,2.1636600378787803,4.391307765151514,0.7977137215909088,False,rejected,unsupported,False,False,False,1.840469910037879,False,0,3
12.0,2.0,12.0,100.0,100.0,0.2148780606060607,2.3800757575757503,4.450363636363636,0.8016698484848481,False,rejected,unsupported,False,False,False,1.7540848484848486,False,0,4
12.5,2.0,12.0,100.0,100.0,0.21979105113636377,2.5962357954545396,4.507504734848484,0.8053752367424238,False,rejected,unsupported,False,False,False,1.672244910037879,False,0,5
13.0,2.0,12.0,100.0,100.0,0.22463196212121223,2.8121401515151447,4.56273106060606,0.8088298863636361,False,rejected,unsupported,False,False,False,1.5947685606060604,False,0,6
13.5,2.0,12.0,100.0,100.0,0.22940079356060616,3.02778882575757,4.616042613636363,0.8120337973484845,False,rejected,unsupported,False,False,False,1.5214793797348483,False,0,7
14.0,2.0,12.0,100.0,100.0,0.23409754545454553,3.243181818181811,4.667439393939393,0.8149869696969693,False,rejected,unsupported,False,False,False,1.452206060606061,False,0,8
14.5,2.0,12.0,100.0,100.0,0.23872221780303038,3.458319128787873,4.716921401515151,0.8176894034090905,False,rejected,unsupported,False,False,False,1.386782410037879,False,0,9
15.0,2.0,12.0,100.0,100.0,0.24327481060606065,3.673200757575753,4.764488636363636,0.8201410984848481,False,rejected,unsupported,False,False,False,1.3250473484848486,False,0,10
15.5,2.0,12.0,100.0,100.0,0.24775532386363644,3.88782670454545,4.810141098484848,0.822342054924242,False,rejected,unsupported,False,False,False,1.2668449100378787,False,0,11
16.0,2.0,12.0,100.0,100.0,0.2521637575757576,4.102196969696966,4.853878787878787,0.8242922727272723,False,rejected,unsupported,False,False,False,1.2120242424242424,False,0,12
16.5,2.0,12.0,100.0,100.0,0.25650011174242426,4.3163115530303,4.895701704545454,0.8259917518939389,False,rejected,unsupported,False,False,False,1.160439607007576,False,0,13
17.0,2.0,12.0,100.0,100.0,0.2607643863636364,4.530170454545452,4.935609848484848,0.827440492424242,False,rejected,unsupported,False,False,False,1.1119503787878788,False,0,14
17.5,2.0,12.0,100.0,100.0,0.264956581439394,4.743773674242421,4.973603219696968,0.8286384943181814,False,rejected,unsupported,False,False,False,1.0664210464015151,False,0,15
18.0,2.0,12.0,100.0,100.0,0.269076696969697,4.95712121212121,5.009681818181817,0.8295857575757571,False,rejected,unsupported,False,False,False,1.0237212121212123,False,0,16
18.5,2.0,12.0,100.0,100.0,0.2731247329545455,5.170213068181816,5.043845643939393,0.8302822821969692,False,rejected,unsupported,False,False,False,0.9837255918560606,False,0,17
19.0,2.0,12.0,100.0,100.0,0.2771006893939394,5.38304924242424,5.076094696969696,0.8307280681818177,False,rejected,unsupported,False,False,False,0.9463140151515153,False,0,18
