response,term,partial_ss,df,f_value,p_value,normalized_partial_ss_pct
etch_rate,b1,0.06667604166666664,1,98.67896867497419,7.900572726235073e-07,8.829834294049457
etch_rate,b2,0.0025010416666666827,1,3.701482663197591,0.08061410932431728,0.33121017575673556
etch_rate,b3,0.0004593750000000049,1,0.6798641626281319,0.4271514904084609,0.06083452207776803
etch_rate,b4,0.027676041666666675,1,40.959888745729366,5.080622174289012e-05,3.6651075217328843
etch_rate,b5,0.516677415,1,764.6703849748877,1.616009739060209e-11,68.42301738209801
etch_rate,b11,0.00609600742424244,1,9.021947173567167,0.012001172211925997,0.8072875063647577
etch_rate,b22,0.0083936740909091,1,12.422439634697797,0.004760238098753479,1.1115649562927754
etch_rate,b33,0.007199007424242433,1,10.654361152078877,0.007543805785412753,0.9533565737971973
etch_rate,b44,0.02125100742424243,1,31.450989643508333,0.00015838302964163217,2.814247358530339
etch_rate,b55,0.026076994090909095,1,38.59333605763149,6.60022213230941e-05,3.453347423663061
etch_rate,b12,0.0001265624999999956,1,0.1873095141934564,0.673528771990347,0.016760531592853695
etch_rate,b13,0.0009765625000000017,1,1.4452894613693152,0.254526374135605,0.1293250894510363
etch_rate,b14,0.004064062500000016,1,6.0147166224345545,0.032103568369937774,0.5381992922594339
etch_rate,b15,0.019251562500000024,1,28.491858325650117,0.00023822008490541766,2.5494630834019483
etch_rate,b23,0.012939062500000001,1,19.149507247358844,0.001106416481117385,1.7135057051904479
etch_rate,b24,0.0008265625000000096,1,1.2232930001030002,0.2923178127048386,0.10946075571135822
etch_rate,b25,0.005439062500000015,1,8.049684184042546,0.016162728345278137,0.7202890182064926
etch_rate,b34,0.007876562500000017,1,11.657126679620353,0.005781627674584421,1.043084441476279
etch_rate,b35,0.0087890625,1,13.007605152323814,0.004121970170778016,1.1639258050593249
etch_rate,b45,0.011826562500000012,1,17.503033492966942,0.0015270839958030917,1.5661785632878291
selectivity,b1,131.6016666666667,1,16.897043192835337,0.001728022002870598,19.543260595670827
selectivity,b2,3.0816666666667203,1,0.3956716969586641,0.5421753121962283,0.4576371733057583
selectivity,b3,0.48166666666669755,1,0.06184376442458586,0.8081870897117658,0.0715290119444945
selectivity,b4,201.83999999999997,1,25.915319193337595,0.00034908143860795334,29.973873572752613
selectivity,b5,70.7266666666667,1,9.080975733984632,0.01179260539748997,10.503132009952857
selectivity,b11,0.07670454545457517,1,0.009848507625025704,0.9227334519710981,0.01139086577442971
selectivity,b22,0.005454545454583126,1,0.0007003383200063935,0.9793613234613766,0.0008100171217425043
selectivity,b33,0.11878787878789865,1,0.015251812302258671,0.9039402541750394,0.017640372873384543
selectivity,b44,32.27003787878793,1,4.143323087643105,0.0666160702687526,4.7922019201680905
selectivity,b55,5.643787878787904,1,0.7246361689371694,0.4127752119611168,0.8381202157660639
selectivity,b12,12.959999999999965,1,1.664003848323694,0.2235229219645441,1.924600681246893
selectivity,b13,5.7600000000000335,1,0.739557265921648,0.40815478925761284,0.855378080554182
selectivity,b14,6.760000000000005,1,0.8679526245885965,0.3715193204926729,1.0038812195392777
selectivity,b15,19.802500000000038,1,2.5425490900023227,0.1391225066697444,2.9407334097524513
selectivity,b23,0.4225000000000563,1,0.05424703903679446,0.8201084162254,0.06274257622121318
selectivity,b24,28.622500000000073,1,3.674996153444844,0.08156298784153848,4.2505310956010405
selectivity,b25,46.239999999999995,1,5.937001384759862,0.03302137132395653,6.86678514667103
selectivity,b34,26.522500000000036,1,3.4053659002442402,0.09205212649775127,3.9386745037323245
selectivity,b35,21.160000000000025,1,2.7168457893927083,0.12753195051037092,3.1423264209247237
selectivity,b45,59.290000000000006,1,7.6125608153635875,0.018586192454694547,8.80475111042659
nonuniformity,b1,0.40041666666665776,1,0.14805623745836102,0.7077353034073477,0.576176143876692
nonuniformity,b2,6.933749999999996,1,2.5637917248123197,0.13764054618794144,9.977260364466431
nonuniformity,b3,11.070416666666667,1,4.093346694101229,0.06804103555983675,15.929681546992894
nonuniformity,b4,0.84375,1,0.31198114552881134,0.5876564878151145,1.2141068588452937
nonuniformity,b5,10.533749999999998,1,3.894911279068582,0.0740809114224103,15.15744962887302
nonuniformity,b11,4.301856060606063,1,1.5906346449634836,0.23332688056987216,6.190119050603872
nonuniformity,b22,0.012272727272719663,1,0.0045379075713253515,0.9475007793220481,0.01765973612864787
nonuniformity,b33,1.120606060606054,1,0.41435017774744337,0.532960587574659,1.6124865235501216
nonuniformity,b44,0.9818560606060558,1,0.3630466115938173,0.5590354970927431,1.4128333956511203
nonuniformity,b55,2.1456060606060596,1,0.7933494952787422,0.3921544155958072,3.0874015224436717
nonuniformity,b12,0.030625000000007674,1,0.011323760096974509,0.917170434394197,0.04406758228402541
nonuniformity,b13,10.400624999999998,1,3.845687587218481,0.07567976253553657,14.96589054669965
nonuniformity,b14,0.000625000000006537,1,0.00023109714483857366,0.988143343486309,0.0008993384139688832
nonuniformity,b15,0.22562500000000085,1,0.08342606928585283,0.7780776330917494,0.32466116743937234
nonuniformity,b23,0.39062499999999645,1,0.14443571552259654,0.7111462590020863,0.5620865087246679
nonuniformity,b24,4.950624999999995,1,1.8305204842471945,0.20321924492034987,7.12365957697301
nonuniformity,b25,0.39062500000000355,1,0.14443571552259918,0.7111462590020838,0.5620865087246781
nonuniformity,b34,1.3806249999999984,1,0.5104935929430693,0.48981029577782886,1.986638556436482
nonuniformity,b35,12.780624999999993,1,4.725705514754563,0.052422496198064564,18.390571227057332
nonuniformity,b45,0.6006249999999937,1,0.22208435618754416,0.6466644708936529,0.8642642158150483
anisotropy,b1,0.05170816666666678,1,5.221429652847764,0.04315191923770543,8.533622653517387
anisotropy,b2,0.15041666666666653,1,15.188897503924565,0.002488141680353505,24.823913839527023
anisotropy,b3,2.4000000000024002e-05,1,0.002423491679298977,0.9616193218692382,0.003960823925645949
anisotropy,b4,0.00539999999999996,1,0.5452856278417205,0.4757107139265363,0.8911853832694409
anisotropy,b5,0.026135999999999993,1,2.639182438753946,0.13253960683159818,4.313337255024123
anisotropy,b11,0.0737673068181818,1,7.448935594915813,0.01960377408348903,12.174138073984496
anisotropy,b22,0.0017721818181818394,1,0.17895282877351354,0.6804266277389649,0.2924708394184312
anisotropy,b33,0.019108015151515167,1,1.9295048219820616,0.19229166156211572,3.1534784826521207
anisotropy,b44,0.0726681818181818,1,7.337947249415528,0.020332100354782234,11.992744715764857
anisotropy,b55,0.07786801515151509,1,7.863020283459782,0.017148304701729938,12.850895727265577
anisotropy,b12,0.013224999999999959,1,1.3354448941123676,0.2723230400564884,2.1825790173589636
anisotropy,b13,0.00022499999999987808,1,0.022720234493392878,0.8829154425221293,0.03713272430287352
anisotropy,b14,0.00960399999999978,1,0.9698005869984818,0.3458953482880864,1.5849897075776993
anisotropy,b15,0.029928999999999956,1,3.0221951029027685,0.11000486619305545,4.939312469605787
anisotropy,b23,0.024963999999999875,1,2.5208352617482856,0.14065829743392816,4.119917019988588
anisotropy,b24,0.004224999999999993,1,0.4266355143761633,0.5270609698992177,0.6972700452432238
anisotropy,b25,0.01959999999999984,1,1.9791848714255025,0.18709614729221896,3.2346728726075975
anisotropy,b34,0.005624999999999894,1,0.568005862335119,0.4668783666975157,0.9283181075723235
anisotropy,b35,0.01209999999999993,1,1.2218437216453386,0.29258942521392517,1.996915395844491
anisotropy,b45,0.007569000000000006,1,0.7643086883581511,0.4006681022302533,1.249144845549343
bias_voltage,b1,102573.375,1,239.73765790795275,8.157536839564863e-09,14.942790847542117
bias_voltage,b2,2709.374999999998,1,6.3324348730297615,0.02865675180958343,0.39469915026740027
bias_voltage,b3,1218.3749999999964,1,2.847623654321612,0.11962560708966599,0.17749170092993502
bias_voltage,b4,251535.37499999997,1,587.8962419194904,6.714522660169944e-11,36.643432073704055
bias_voltage,b5,189215.04166666666,1,442.2392353778196,3.117115240499869e-10,27.564665712071644
bias_voltage,b11,25468.367424242424,1,59.52545440790145,9.20380949449858e-06,3.710207328644587
bias_voltage,b22,24.242424242417655,1,0.05666014216543216,0.8162305954299429,0.003531613102248334
bias_voltage,b33,113.36742424241947,1,0.26496584294837633,0.6169136829820057,0.01651525758393979
bias_voltage,b44,42840.03409090908,1,100.12704990599553,7.346238901319993e-07,6.240895059970763
bias_voltage,b55,18651.36742424242,1,43.59255160579988,3.85092370470688e-05,2.7171133097757076
bias_voltage,b12,564.0624999999945,1,1.3183442844081448,0.27524642670802274,0.08217208376385825
bias_voltage,b13,315.0624999999927,1,0.7363737991912874,0.4091336818543474,0.04589800268737993
bias_voltage,b14,8418.062499999993,1,19.674955492814426,0.0010022088776924787,1.2263352675978285
bias_voltage,b15,3052.5624999999955,1,7.134543290280192,0.02175291964109263,0.44469437596793726
bias_voltage,b23,4590.062499999989,1,10.72803574417942,0.007394345941667595,0.6686759006871532
bias_voltage,b24,39.06249999999454,1,0.0912980806376713,0.7681697292653326,0.005690587518271993
bias_voltage,b25,370.56249999999454,1,0.8660901121613132,0.37201413606841904,0.053983189433342176
bias_voltage,b34,689.0624999999927,1,1.6104981424487295,0.23061672709730677,0.1003819638223309
