response,factor,partial_ss,df,f_value,p_value,centerline_prediction_range,normalized_partial_ss_pct
etch_rate,sf6,0.0971907990909091,6,23.973348295364794,1.0385830131708804e-05,0.2112582124242421,11.748833597261491
etch_rate,o2,0.030225965757575756,6,7.455619373932194,0.0022525027450155306,0.08962037121212124,3.653842187984419
etch_rate,chf3,0.038239632424242415,6,9.432292309229878,0.0008350317112532411,0.07171908454545434,4.6225680041238855
etch_rate,pressure,0.07352079909090907,6,18.1348413640604,4.099606410742743e-05,0.1862888799999997,8.88750419315752
etch_rate,rf_power,0.5880606590909092,6,145.05265036458377,8.075319074931591e-10,0.5868999999999991,71.08725201747268
selectivity,sf6,176.96087121212122,6,3.7868257548827686,0.02704797427635138,9.366666666666674,19.64209989565454
selectivity,o2,91.3321212121213,6,1.9544367434739753,0.15887831812306477,1.4333333333333371,10.13757807724692
selectivity,chf3,54.46545454545462,6,1.16551859522037,0.3897756345047342,0.616719999999999,6.045494078528094
selectivity,pressure,355.3050378787879,6,7.603252962436992,0.0020782837612766266,11.999998636363635,39.43774123421268
selectivity,rf_power,222.8629545454546,6,4.769094830406712,0.012438460720793928,6.86747999999999,24.737086714357755
nonuniformity,sf6,15.359772727272727,6,0.9465598993613316,0.501024565595042,1.801014545454545,15.261067150908422
nonuniformity,o2,12.708522727272722,6,0.7831742179621685,0.6005015018924234,2.1500000000000026,12.626854718064031
nonuniformity,chf3,37.143522727272725,6,2.289003213714565,0.110977582113045,2.7301433333333307,36.90482955881937
nonuniformity,pressure,8.758106060606053,6,0.5397262146075461,0.7681585141918083,1.1548472727272796,8.701824374547192
nonuniformity,rf_power,26.676856060606077,6,1.6439854050163156,0.22466974747609217,2.8125236363636366,26.50542419766098
anisotropy,sf6,0.1784584734848484,6,3.0034210110451016,0.05446954719748133,0.30416465000000004,24.34629515054562
anisotropy,o2,0.21420284848484838,6,3.6049918123934055,0.031600656898468964,0.31666666666666676,29.222741119896977
anisotropy,chf3,0.062046015151515116,6,1.0442222323139219,0.44826091228056303,0.10410070000000027,8.464661656552083
anisotropy,pressure,0.10509118181818167,6,1.768663921554198,0.19520508328870248,0.23021672727272724,14.337122134367775
anisotropy,rf_power,0.173202015151515,6,2.9149558510909177,0.059251977233926806,0.27737498181818177,23.629179938637545
bias_voltage,sf6,140391.4924242424,6,54.687888197091375,1.490887501437759e-07,284.87238636363634,19.009529718635743
bias_voltage,o2,8297.367424242428,6,3.2321438727636393,0.044037056611086485,42.500000000000085,1.1234943792814924
bias_voltage,chf3,7030.992424242424,6,2.7388420834621034,0.07028929187785582,28.569259090908886,0.9520224988865481
bias_voltage,pressure,337469.65909090906,6,131.45741716673518,1.3746928993670733e-09,426.1756500000001,45.69464575702994
bias_voltage,rf_power,245342.65909090906,6,95.5704058604614,7.65005495967584e-09,356.611503030303,33.22030764616627
